seconds,CO,CO2,PMred,flow,fluetemp,ThermoCo,PMgreen,FlowGrav,COtemp,gastemp,rlas,temp,rboxtemp,glastemp,gboxtemp,gasboxRH,PMgrenRH,chiptemp
1.0,-159.624,1663.2399999999998,9966.6,0.0,23.01621,6553.6,6849.0,52767.0,22.448,23.89632,21.472,21.96,17.08023,23.05431,0.0,0.0,373.0,725.0
4.0,31.0176,1155.1519999999998,9966.6,0.0,23.02002,6553.6,7863.0,52800.0,22.448,23.90394,21.227999999999998,21.96,32.69742,23.05812,0.0,0.0,3.0,725.0
7.0,49.766400000000004,628.144,9898.8,0.0,23.02002,6553.6,4672.0,52827.0,22.204,23.90394,21.472,22.204,16.96212,23.06955,0.0,0.0,72.0,726.0
10.0,-45.792,611.116,9966.6,0.0,23.02383,6553.6,7866.0,52851.0,22.692,23.91918,21.472,21.96,30.04185,23.06955,0.0,0.0,372.0,726.0
13.0,28.209600000000002,611.4599999999999,9966.6,0.0,23.02764,6553.6,5030.0,52872.0,22.448,23.93442,21.472,21.96,53.88102,23.07717,0.0,0.0,372.0,726.0
16.0,4.0608,619.8879999999999,9966.6,0.0,23.02383,6553.6,6399.0,52889.0,22.692,23.9268,21.472,22.204,21.96084,23.06955,0.0,0.0,1.0,726.0
19.0,-5.8752,617.824,9966.6,0.0,23.02383,6553.6,7881.0,52905.0,22.448,23.94204,21.472,22.204,40.05834,23.07717,0.0,0.0,372.0,726.0
22.0,12.6144,614.728,9966.6,0.0,23.02764,6553.6,5505.0,52918.0,22.204,23.93823,21.472,22.204,20.38731,23.08098,0.0,0.0,72.0,726.0
25.0,0.9936,611.4599999999999,9966.6,0.0,23.02764,6553.6,7886.0,52929.0,22.448,23.94966,21.472,22.204,36.97986,23.0886,0.0,0.0,2.0,726.0
28.0,3.5424,609.9119999999999,10034.4,0.0,23.03145,6553.6,5163.0,52939.0,22.448,23.95347,21.472,22.204,18.63852,23.0886,0.0,0.0,1.0,727.0
31.0,6.1344,608.192,10034.4,0.0,23.01621,6553.6,7883.0,52948.0,22.692,23.95347,21.227999999999998,21.96,33.62325,23.0886,0.0,0.0,71.0,728.0
34.0,2.5056000000000003,616.448,9898.8,0.0,23.02383,6553.6,4824.0,52954.0,22.448,23.96109,21.472,21.96,17.35455,23.09241,0.0,0.0,0.0,726.0
37.0,4.5360000000000005,603.376,9966.6,0.0,23.00859,6553.6,7878.0,52962.0,22.448,23.98014,21.472,22.204,30.91815,23.10384,0.0,0.0,71.0,726.0
40.0,4.4928,603.548,9966.6,0.0,23.00478,6553.6,4522.0,52967.0,22.204,23.97633,21.472,22.204,16.75257,23.09241,0.0,0.0,70.0,727.0
43.0,3.8880000000000003,612.3199999999999,9966.6,0.0,23.00097,6553.6,7873.0,52972.0,22.448,23.97633,21.716,21.716,29.79801,23.10003,0.0,0.0,0.0,726.0
46.0,4.104,612.3199999999999,10034.4,0.0,23.00859,6553.6,5578.0,52976.0,22.448,23.97633,21.472,21.96,52.59324,23.09622,0.0,0.0,70.0,726.0
49.0,3.8448,611.976,10034.4,0.0,23.00478,6553.6,6425.0,52979.0,22.448,23.99157,21.472,21.96,21.89988,23.11146,0.0,0.0,1.0,726.0
52.0,4.1904,603.376,10034.4,0.0,23.00478,6553.6,7890.0,52982.0,22.692,23.99157,21.227999999999998,21.96,40.16502,23.11146,0.0,0.0,70.0,727.0
55.0,4.2336,603.204,9966.6,0.0,22.99716,6553.6,5548.0,52983.0,22.448,23.99538,21.472,21.96,20.53971,23.11908,0.0,0.0,0.0,726.0
58.0,4.1472,603.204,10034.4,0.0,23.00478,6553.6,7895.0,52987.0,22.448,24.003,21.472,21.96,37.3761,23.11527,0.0,0.0,1.0,726.0
