seconds,CO,CO2,PMred,flow,fluetemp,ThermoCo,PMgreen,FlowGrav,COtemp,gastemp,rlas,temp,rboxtemp,glastemp,gboxtemp,gasboxRH,chiptemp
1.0,-136.4256,1695.06,9898.8,0.0,23.01621,21.400000000000002,6770.0,52749.0,22.692,24.2697,21.716,22.204,16.9164,23.83536,0.0,0.0,729.0
4.0,19.872,1204.3439999999998,9898.8,0.0,23.02383,21.400000000000002,7813.0,52787.0,22.692,24.27351,21.96,22.204,32.285940000000004,23.83536,0.0,0.0,728.0
7.0,39.052800000000005,632.444,9898.8,0.0,23.04669,21.400000000000002,4685.0,52818.0,22.936,24.27732,21.96,22.448,17.526,23.83536,0.0,0.0,728.0
10.0,-42.4656,620.06,9966.6,0.0,23.04669,21.400000000000002,7826.0,52842.0,22.692,24.27732,21.96,22.204,31.30677,23.83536,0.0,0.0,728.0
13.0,19.1808,620.06,9966.6,0.0,23.05812,21.400000000000002,4598.0,52865.0,22.692,24.28875,21.716,22.204,17.30121,23.83917,0.0,0.0,728.0
16.0,0.0864,617.136,9966.6,0.0,23.06574,21.400000000000002,7828.0,52884.0,22.692,24.28494,21.716,22.448,30.91053,23.83155,0.0,0.0,27.0
19.0,-9.0288,619.0279999999999,9966.6,0.0,23.07336,21.3,4521.0,52901.0,22.448,24.30399,21.472,22.448,17.16786,23.84298,0.0,0.0,727.0
22.0,6.7824,619.0279999999999,9831.0,0.0,23.07336,21.3,7830.0,52914.0,22.448,24.30399,21.472,22.692,30.70479,23.83917,0.0,0.0,728.0
25.0,-3.1968,615.588,9966.6,0.0,23.06574,21.3,4499.0,52927.0,22.448,24.3078,21.96,22.692,17.13357,23.84298,0.0,0.0,729.0
28.0,-1.1664,604.924,9898.8,0.0,23.06574,21.3,7834.0,52938.0,22.692,24.31923,21.716,22.448,30.67431,23.83917,0.0,0.0,729.0
31.0,1.2096,603.376,10034.4,0.0,23.06955,21.3,4491.0,52947.0,22.692,24.32685,21.716,22.204,17.13357,23.83536,0.0,0.0,729.0
34.0,-1.5552000000000001,611.804,9898.8,0.0,23.06574,21.3,7838.0,52955.0,22.692,24.32304,21.716,22.448,30.71622,23.83155,0.0,0.0,729.0
37.0,-0.43200000000000005,611.804,10034.4,0.0,23.05812,21.3,4510.0,52963.0,22.692,24.33447,21.716,22.204,17.14119,23.84298,0.0,0.0,728.0
40.0,0.0432,611.632,9966.6,0.0,23.05431,21.3,7837.0,52967.0,22.692,24.3459,21.96,22.204,30.72765,23.83536,0.0,0.0,29.0
43.0,-0.9936,611.632,9966.6,0.0,23.04669,21.3,4532.0,52973.0,22.692,24.3459,21.96,22.204,17.17167,23.83917,0.0,0.0,729.0
46.0,-0.1296,611.4599999999999,9898.8,0.0,23.03907,21.3,7839.0,52975.0,22.448,24.34971,22.204,22.204,30.8229,23.83155,0.0,0.0,729.0
