seconds,CO,CO2,PMred,flow,fluetemp,ThermoCo,PMgreen,FlowGrav,COtemp,gastemp,rlas,temp,rboxtemp,glastemp,gboxtemp,chiptemp
1.0,-0.3024,740.804,9966.6,0.0,23.68677,21.200000000000003,5742.0,52772.0,24.4,26.19756,22.692,23.18,16.88973,24.50973,0.0,734.0
4.0,-0.9504,740.9759999999999,10034.4,0.0,23.69439,21.200000000000003,7871.0,52809.0,24.4,26.20137,22.936,23.18,32.00019,24.50973,0.0,734.0
7.0,-0.3024,741.1479999999999,9831.0,0.0,23.6982,21.200000000000003,4943.0,52837.0,24.4,26.2128,22.936,23.424,18.43659,24.51354,0.0,734.0
10.0,-0.6912,741.3199999999999,9966.6,0.0,23.70582,21.200000000000003,7892.0,52861.0,24.4,26.22423,22.936,23.424,33.58896,24.51354,0.0,734.0
13.0,-0.7344,732.204,9831.0,0.0,23.70582,21.3,5139.0,52882.0,24.644,26.22804,22.936,22.936,19.18716,24.51354,0.0,734.0
16.0,-0.21600000000000003,732.376,9898.8,0.0,23.70963,21.3,7896.0,52900.0,24.644,26.23185,22.936,23.424,35.17011,24.50973,0.0,734.0
19.0,-0.8208000000000001,732.376,10034.4,0.0,23.70963,21.3,5319.0,52914.0,24.4,26.23947,22.936,23.18,19.99869,24.52497,0.0,734.0
22.0,-0.38880000000000003,732.376,9966.6,0.0,23.71344,21.3,7900.0,52929.0,24.4,26.23947,22.692,23.424,36.70554,24.51354,0.0,734.0
25.0,-0.4752,745.7919999999999,9898.8,0.0,23.69439,21.3,5503.0,52940.0,24.644,26.25852,22.692,23.18,20.89404,24.521160000000002,0.0,734.0
28.0,-0.6912,736.6759999999999,9966.6,0.0,23.6982,21.3,7900.0,52949.0,24.4,26.25471,22.692,23.424,38.32098,24.521160000000002,0.0,734.0
31.0,-0.5616,723.4319999999999,9966.6,0.0,23.68296,21.3,5690.0,52958.0,24.4,26.26614,22.936,23.18,21.6789,24.52497,0.0,734.0
34.0,-0.38880000000000003,723.6039999999999,9966.6,0.0,23.67534,21.3,7887.0,52963.0,24.4,26.26995,23.18,23.424,39.608760000000004,24.52878,0.0,734.0
37.0,-0.43200000000000005,723.26,9966.6,0.0,23.67915,21.3,5856.0,52970.0,24.644,26.27757,22.692,23.424,22.30755,24.52878,0.0,734.0
40.0,-0.8208000000000001,710.5319999999999,9898.8,0.0,23.66391,21.3,7819.0,52973.0,24.156,26.28519,22.936,23.18,40.72509,24.52497,0.0,734.0
43.0,-0.1728,723.26,10034.4,0.0,23.6601,21.3,5996.0,52977.0,24.644,26.28138,22.936,23.18,22.64283,24.521160000000002,0.0,735.0
46.0,-0.9072,710.188,9898.8,0.0,23.64486,21.3,7762.0,52982.0,24.644,26.289,23.18,23.424,41.34612,24.52497,0.0,734.0
49.0,-0.6048,710.704,9966.6,0.0,23.63724,21.3,6075.0,52985.0,24.644,26.30043,22.936,23.424,22.74189,24.52878,0.0,734.0
52.0,-0.1728,710.188,9898.8,0.0,23.63343,21.3,7722.0,52987.0,24.4,26.30424,23.18,23.424,41.66235,24.53259,0.0,734.0
55.0,-0.7344,710.3599999999999,9898.8,0.0,23.622,21.3,6115.0,52988.0,24.644,26.30043,22.936,23.424,22.75713,24.52497,0.0,734.0
58.0,-0.3024,714.832,9966.6,0.0,23.63343,21.3,7722.0,52990.0,24.4,26.30424,23.18,23.18,41.72712,24.5364,0.0,735.0
61.0,-0.5616,715.1759999999999,10034.4,0.0,23.62581,21.3,6121.0,52990.0,24.4,26.31186,22.692,23.424,22.77237,24.540210000000002,0.0,735.0
64.0,-0.648,701.76,9966.6,0.0,23.622,21.3,7717.0,52990.0,24.644,26.31567,23.18,23.424,41.757600000000004,24.5364,0.0,735.0
67.0,-0.21600000000000003,714.832,9898.8,0.0,23.61057,21.3,6128.0,52992.0,24.4,26.31186,23.18,23.18,22.77999,24.54402,0.0,734.0
70.0,-0.7344,714.832,9898.8,0.0,23.61057,21.3,7719.0,52994.0,24.644,26.31948,22.936,23.18,41.76141,24.5364,0.0,735.0
73.0,-0.38880000000000003,714.832,9966.6,0.0,23.59914,21.3,6140.0,52995.0,24.4,26.32329,23.18,23.668,22.77618,24.54402,0.0,735.0
76.0,-0.6912,701.76,9966.6,0.0,23.58771,21.3,7720.0,52996.0,24.644,26.33091,23.18,23.18,41.76903,24.54783,0.0,734.0
79.0,-0.4752,701.4159999999999,9966.6,0.0,23.60676,21.3,6134.0,52996.0,24.4,26.33472,22.692,23.424,22.77237,24.55164,0.0,735.0
82.0,-0.3456,701.588,9966.6,0.0,23.59533,21.3,7713.0,52995.0,24.4,26.34234,23.18,23.18,41.833800000000004,24.55164,0.0,735.0
85.0,-0.648,701.4159999999999,10034.4,0.0,23.61057,21.3,6154.0,52996.0,24.644,26.33091,23.18,23.18,22.77618,24.55164,0.0,734.0
88.0,-0.2592,701.588,9966.6,0.0,23.59914,21.3,7710.0,52997.0,24.887999999999998,26.33091,22.936,23.18,41.84523,24.55545,0.0,735.0
91.0,-0.38880000000000003,701.76,9898.8,0.0,23.60676,21.3,6156.0,52995.0,24.644,26.34996,23.18,23.424,22.79904,24.56307,0.0,734.0
94.0,-0.6048,702.1039999999999,9966.6,0.0,23.61057,21.3,7706.0,52997.0,24.4,26.34234,23.18,23.424,41.87571,24.559260000000002,0.0,735.0
