#,3/12/17,,,,,,,,,,,,,,,,,
#,13:45:57,,,,,,,,,,,,,,,,,
##,## ,,,,,,,,,,,,,,,,,
#0,0.0432,0.172,67.8,0,0.00381,0.1,1,1,0.244,0.00381,0.244,0.244,0.00381,0.00381,0,0,0,.
408,,,,,,,,,,,,,,,,,,
seconds,CO,CO2,PMred,flow,fluetemp,ThermoCo,PMgreen,FlowGrav,COtemp,gastemp,rlas,,,,,,,
temp,rboxtemp,glastemp,gboxtemp,gasboxRH,PMredRH,PMgrenRH,chiptemp,,,,,,,,,,,
1,-3695,9670,147,29505,6041,65536,6849,52767,92,6272,88,90,4483,6051,381,385,,
373,725,,,,,,,,,,,,,,,,,
4,718,6716,147,29423,6042,65536,7863,52800,92,6274,87,90,8582,6052,380,385,37,
3,725,,,,,,,,,,,,,,,,,
7,1152,3652,146,29778,6042,65536,4672,52827,91,6274,88,91,4452,6055,380,385,3,
72,726,,,,,,,,,,,,,,,,,
10,-1060,3553,147,29335,6043,65536,7866,52851,93,6278,88,90,7885,6055,380,384,,
,372,726,,,,,,,,,,,,,,,,
13,653,3555,147,29746,6044,65536,5030,52872,92,6282,88,90,14142,6057,381,384,,
372,726,,,,,,,,,,,,,,,,,
16,94,3604,147,29933,6043,65536,6399,52889,93,6280,88,91,5764,6055,379,384,37,
1,726,,,,,,,,,,,,,,,,,
19,-136,3592,147,29917,6043,65536,7881,52905,92,6284,88,91,10514,6057,379,383,,
,372,726,,,,,,,,,,,,,,,,
22,292,3574,147,29242,6044,65536,5505,52918,91,6283,88,91,5351,6058,379,382,3,
72,726,,,,,,,,,,,,,,,,,
25,23,3555,147,29524,6044,65536,7886,52929,92,6286,88,91,9706,6060,379,382,37,
2,726,,,,,,,,,,,,,,,,,
28,82,3546,148,29846,6045,65536,5163,52939,92,6287,88,91,4892,6060,379,383,37,
1,727,,,,,,,,,,,,,,,,,
31,142,3536,148,29755,6041,65536,7883,52948,93,6287,87,90,8825,6060,380,383,3,
71,728,,,,,,,,,,,,,,,,,
34,58,3584,146,29650,6043,65536,4824,52954,92,6289,88,90,4555,6061,379,382,37,
0,726,,,,,,,,,,,,,,,,,
37,105,3508,147,29757,6039,65536,7878,52962,92,6294,88,91,8115,6064,379,381,3,
71,726,,,,,,,,,,,,,,,,,
40,104,3509,147,29530,6038,65536,4522,52967,91,6293,88,91,4397,6061,379,381,3,
70,727,,,,,,,,,,,,,,,,,
43,90,3560,147,29438,6037,65536,7873,52972,92,6293,89,89,7821,6063,378,382,37,
0,726,,,,,,,,,,,,,,,,,
46,95,3560,148,29520,6039,65536,5578,52976,92,6293,88,90,13804,6062,378,381,3,
70,726,,,,,,,,,,,,,,,,,
49,89,3558,148,29942,6038,65536,6425,52979,92,6297,88,90,5748,6066,378,381,37,
1,726,,,,,,,,,,,,,,,,,
52,97,3508,148,29762,6038,65536,7890,52982,93,6297,87,90,10542,6066,379,381,3,
70,727,,,,,,,,,,,,,,,,,
55,98,3507,147,29759,6036,65536,5548,52983,92,6298,88,90,5391,6068,379,382,37,
0,726,,,,,,,,,,,,,,,,,
58,96,3507,148,29767,6038,65536,7895,52987,92,6300,88,90,9810,6067,379,382,37,
1,726,,,,,,,,,,,,,,,,,
61,93,3508,148,29826,6037,65536,5237,52988,93,6302,88,90,4994,6069,378,381,37,
0,727,,,,,,,,,,,,,,,,,
64,91,3509,148,29764,6034,65536,7893,52990,93,6301,87,91,9058,6068,379,381,37,
0,727,,,,,,,,,,,,,,,,,
67,94,3637,147,29761,6033,65536,4934,52991,93,6303,88,91,4649,6070,378,381,37,
0,727,,,,,,,,,,,,,,,,,
70,94,3509,146,29444,6038,65536,7890,52994,92,6304,88,90,8334,6071,378,380,37,
0,726,,,,,,,,,,,,,,,,,
73,95,3509,148,29780,6034,65536,4651,52994,93,6307,87,91,4450,6073,378,382,37,
1,728,,,,,,,,,,,,,,,,,
76,88,3508,148,29532,6034,65536,7883,52993,93,6309,87,90,7923,6070,379,383,37,
1,727,,,,,,,,,,,,,,,,,
79,95,3637,147,29762,6036,65536,4410,52995,92,6309,88,90,4410,6072,377,382,37,
0,726,,,,,,,,,,,,,,,,,
82,96,3559,147,29857,6036,65536,7884,52994,92,6312,88,90,7885,6074,378,383,37,
0,726,,,,,,,,,,,,,,,,,
85,90,3559,148,29850,6034,65536,4369,52996,92,6313,88,89,4437,6076,377,384,37,
0,726,,,,,,,,,,,,,,,,,
88,91,3559,146,29536,6035,65536,7884,52995,92,6314,88,91,7958,6076,378,383,37,
0,727,,,,,,,,,,,,,,,,,
91,91,3509,148,29444,6036,65536,4368,52996,92,6316,89,91,4459,6078,376,382,37,
0,726,,,,,,,,,,,,,,,,,
94,94,3510,147,30087,6035,65536,7884,52996,92,6316,89,90,8005,6077,376,383,36,
9,727,,,,,,,,,,,,,,,,,
97,92,3508,146,29859,6036,65536,4341,52996,91,6318,88,90,4470,6078,377,384,37,
0,727,,,,,,,,,,,,,,,,,
100,90,3510,147,29859,6035,65536,7886,52998,92,6318,88,89,8095,6079,376,382,3,
70,727,,,,,,,,,,,,,,,,,
103,87,3509,147,29857,6037,65536,4548,52996,93,6319,89,90,4406,6081,376,382,3,
69,728,,,,,,,,,,,,,,,,,
106,99,3508,147,29445,6037,65536,7885,52997,93,6321,88,90,7858,6077,376,382,3,
71,727,,,,,,,,,,,,,,,,,
109,89,3585,147,29854,6036,65536,4746,52997,93,6323,88,89,14380,6084,377,382,,
370,727,,,,,,,,,,,,,,,,,
112,92,3586,146,29949,6037,65536,6415,52997,93,6325,89,90,5791,6084,377,383,3,
70,727,,,,,,,,,,,,,,,,,
115,89,3508,146,29858,6036,65536,7894,52997,92,6326,89,91,10617,6086,376,383,,
370,726,,,,,,,,,,,,,,,,,
118,94,3510,147,29540,6039,65536,5629,52997,93,6327,88,91,5489,6087,376,382,3,
70,727,,,,,,,,,,,,,,,,,
121,88,3510,147,29355,6037,65536,7903,52999,93,6330,88,91,10005,6085,376,382,,
369,727,,,,,,,,,,,,,,,,,
124,95,3512,147,29440,6043,65536,5362,52997,92,6330,90,90,5161,6084,376,383,3,
69,727,,,,,,,,,,,,,,,,,
127,91,3535,146,29538,6042,65536,7902,52998,93,6334,88,91,9403,6087,376,383,3,
69,727,,,,,,,,,,,,,,,,,
130,87,3459,148,29540,6042,65536,5112,52997,93,6332,89,91,4832,6088,375,382,3,
69,728,,,,,,,,,,,,,,,,,
133,93,3509,147,29860,6044,65536,7899,52998,93,6338,88,90,8749,6088,376,383,3,
70,727,,,,,,,,,,,,,,,,,
136,87,3508,147,29852,6047,65536,4853,52997,93,6336,89,89,4579,6088,377,383,3,
70,727,,,,,,,,,,,,,,,,,
139,93,3457,147,29859,6050,65536,7894,52998,92,6338,89,91,8206,6089,377,382,3,
70,728,,,,,,,,,,,,,,,,,
142,89,3460,147,29954,6053,65536,4637,52997,93,6342,89,91,4454,6090,375,383,3,
70,727,,,,,,,,,,,,,,,,,
145,91,3509,146,29860,6054,65536,7891,52997,94,6340,89,92,7957,6091,375,382,3,
69,728,,,,,,,,,,,,,,,,,
148,92,3459,148,30091,6054,65536,4385,52998,92,6342,88,90,4449,6091,375,383,3,
71,727,,,,,,,,,,,,,,,,,
151,89,3459,148,29915,6057,65536,7890,52997,93,6343,89,90,7999,6092,376,382,3,
70,728,,,,,,,,,,,,,,,,,
154,86,3460,148,29955,6057,65536,4471,52999,93,6343,89,91,4417,6094,376,382,3,
70,727,,,,,,,,,,,,,,,,,
157,94,3509,147,29449,6057,65536,7890,52997,94,6348,89,90,7908,6095,375,381,3,
70,727,,,,,,,,,,,,,,,,,
160,88,3511,148,29955,6058,65536,4441,52999,94,6347,90,91,4419,6094,375,382,3,
70,728,,,,,,,,,,,,,,,,,
163,88,3459,148,29448,6060,65536,7890,52997,93,6348,89,90,7922,6097,375,381,3,
71,728,,,,,,,,,,,,,,,,,
166,90,3510,148,29863,6060,65536,4429,52998,93,6350,88,90,4427,6095,375,382,3,
71,728,,,,,,,,,,,,,,,,,
169,86,3484,147,29860,6060,65536,7890,52998,94,6352,90,90,7936,6099,375,381,3,
70,728,,,,,,,,,,,,,,,,,
