#,3/11/17,,,,,,,,,,,,,,,,,
#,13:38:23,,,,,,,,,,,,,,,,,
# type cal (in 5 seconds),,,,,,,,,,,,,,,,,,
##,## ,,,,,,,,,,,,,,,,,
#0,0.0432,0.172,67.8,0,0.00381,0.1,1,1,0.244,0.00381,0.244,0.244,0.00381,0.00381,0,0,0,.
408,,,,,,,,,,,,,,,,,,
seconds,CO,CO2,PMred,flow,fluetemp,ThermoCo,PMgreen,FlowGrav,COtemp,gastemp,rlas,,,,,,,
temp,rboxtemp,glastemp,gboxtemp,gasboxRH,PMredRH,PMgrenRH,chiptemp,,,,,,,,,,,
1,-3158,9855,146,28322,6041,214,6770,52749,93,6370,89,91,4440,6256,382,389,38,
4,729,,,,,,,,,,,,,,,,,
4,460,7002,146,28820,6043,214,7813,52787,93,6371,90,91,8474,6256,380,391,387,
728,,,,,,,,,,,,,,,,,,
7,904,3677,146,29742,6049,214,4685,52818,94,6372,90,92,4600,6256,379,392,387,
728,,,,,,,,,,,,,,,,,,
10,-983,3605,147,30068,6049,214,7826,52842,93,6372,90,91,8217,6256,379,394,38,
8,728,,,,,,,,,,,,,,,,,
13,444,3605,147,30070,6052,214,4598,52865,93,6375,89,91,4541,6257,379,393,389,
,728,,,,,,,,,,,,,,,,,
16,2,3588,147,29427,6054,214,7828,52884,93,6374,89,92,8113,6255,377,393,387,7
27,,,,,,,,,,,,,,,,,,
19,-209,3599,147,29709,6056,213,4521,52901,92,6379,88,92,4506,6258,378,395,38,
8,727,,,,,,,,,,,,,,,,,
22,157,3599,145,30071,6056,213,7830,52914,92,6379,88,93,8059,6257,378,394,388,
,728,,,,,,,,,,,,,,,,,
25,-74,3579,147,30256,6054,213,4499,52927,92,6380,90,93,4497,6258,377,395,388,
,729,,,,,,,,,,,,,,,,,
28,-27,3517,146,30352,6054,213,7834,52938,93,6383,89,92,8051,6257,378,395,388,
,729,,,,,,,,,,,,,,,,,
31,28,3508,148,29841,6055,213,4491,52947,93,6385,89,91,4497,6256,378,394,389,
729,,,,,,,,,,,,,,,,,,
34,-36,3557,146,30308,6054,213,7838,52955,93,6384,89,92,8062,6255,379,395,388,
,729,,,,,,,,,,,,,,,,,
37,-10,3557,148,30163,6052,213,4510,52963,93,6387,89,91,4499,6258,378,396,388,
,728,,,,,,,,,,,,,,,,,
40,1,3556,147,29756,6051,213,7837,52967,93,6390,90,91,8065,6256,378,396,388,7
29,,,,,,,,,,,,,,,,,,
43,-23,3556,147,29847,6049,213,4532,52973,93,6390,90,91,4507,6257,378,395,389,
,729,,,,,,,,,,,,,,,,,
46,-3,3555,146,29938,6047,213,7839,52975,92,6391,91,91,8090,6255,379,395,387,
729,,,,,,,,,,,,,,,,,,
49,-8,3557,146,29755,6045,213,4563,52979,94,6391,89,91,4515,6256,379,395,388,
728,,,,,,,,,,,,,,,,,,
52,-12,3608,148,30167,6047,213,7841,52982,93,6395,90,91,8097,6256,379,393,387,
,729,,,,,,,,,,,,,,,,,
55,-3,3611,147,30077,6045,213,4571,52985,93,6395,89,91,4529,6259,380,394,387,
729,,,,,,,,,,,,,,,,,,
58,-12,3609,147,29762,6047,213,7843,52987,93,6396,89,91,8126,6258,380,394,387,
,728,,,,,,,,,,,,,,,,,
61,-13,3558,147,30077,6045,213,4599,52988,94,6401,89,92,4538,6257,380,393,387,
,729,,,,,,,,,,,,,,,,,
64,-9,3559,146,29851,6042,213,7846,52990,93,6400,89,92,8150,6258,380,393,388,
729,,,,,,,,,,,,,,,,,,
67,-13,3558,145,30079,6041,213,4616,52991,94,6404,90,93,4544,6259,381,394,387,
,728,,,,,,,,,,,,,,,,,
70,-5,3558,148,30081,6040,213,7847,52992,94,6405,90,91,8158,6258,380,394,387,
728,,,,,,,,,,,,,,,,,,
73,-11,3559,146,30078,6042,213,4635,52992,93,6406,90,92,4563,6259,381,394,389,
,729,,,,,,,,,,,,,,,,,
76,-10,3609,146,29536,6040,213,7850,52994,93,6408,90,92,8194,6257,380,393,388,
,730,,,,,,,,,,,,,,,,,
79,-10,3610,146,29854,6045,214,4655,52995,94,6408,89,92,4577,6259,381,394,388,
,729,,,,,,,,,,,,,,,,,
82,-12,3557,148,30261,6046,213,7851,52995,93,6410,90,92,8232,6258,381,393,387,
,729,,,,,,,,,,,,,,,,,
85,-10,3637,146,30080,6048,213,4674,52996,93,6414,90,92,4587,6260,381,393,388,
,728,,,,,,,,,,,,,,,,,
88,-10,3559,147,30266,6048,213,7853,52996,93,6415,89,91,8240,6260,381,395,388,
,728,,,,,,,,,,,,,,,,,
91,-12,3559,147,30174,6048,213,4690,52997,94,6419,90,92,4601,6261,381,394,387,
,729,,,,,,,,,,,,,,,,,
94,-10,3559,148,30268,6051,213,7853,52997,93,6419,90,92,8276,6260,381,395,388,
,730,,,,,,,,,,,,,,,,,
97,-12,3558,147,30084,6053,213,4705,52995,94,6423,90,92,4606,6261,382,395,388,
,729,,,,,,,,,,,,,,,,,
