seconds,CO,CO2,PMred,flow,fluetemp,ThermoCo,PMgreen,FlowGrav,COtemp,gastemp,rlas,temp,rboxtemp,glastemp,gboxtemp,gasboxRH,chiptemp
1.0,1.3392000000000002,645.8599999999999,10034.4,0.0,23.92299,22.200000000000003,6059.0,52748.0,23.18,24.9174,22.448,22.936,16.59255,24.52497,0.0,0.0,29.0
4.0,-10.6272,653.084,9966.6,0.0,23.91918,22.1,7810.0,52787.0,23.424,24.92121,22.692,23.18,31.30296,24.52497,0.0,0.0,730.0
7.0,7.8192,649.9879999999999,9898.8,0.0,23.92299,22.1,4707.0,52820.0,23.18,24.93264,22.448,23.18,17.89176,24.521160000000002,0.0,0.0,729.0
10.0,-2.8512,660.136,9966.6,0.0,23.91918,22.200000000000003,7829.0,52846.0,23.668,24.93264,22.448,23.18,32.25927,24.52497,0.0,0.0,730.0
13.0,-1.3392000000000002,644.3119999999999,9831.0,0.0,23.92299,22.200000000000003,4849.0,52869.0,23.18,24.94407,22.448,22.936,18.38706,24.52497,0.0,0.0,729.0
16.0,1.7280000000000002,652.2239999999999,10034.4,0.0,23.91537,22.200000000000003,7836.0,52887.0,23.424,24.94788,22.692,22.936,33.25749,24.521160000000002,0.0,0.0,730.0
19.0,-1.6416000000000002,651.536,9898.8,0.0,23.92299,22.200000000000003,4971.0,52903.0,23.424,24.94788,22.692,22.936,18.84426,24.52878,0.0,0.0,730.0
22.0,0.0,660.4799999999999,9831.0,0.0,23.91156,22.1,7839.0,52918.0,23.424,24.95931,22.448,23.18,34.24047,24.52497,0.0,0.0,30.0
25.0,0.3456,660.824,9831.0,0.0,23.89632,22.1,5085.0,52930.0,23.18,24.96312,22.448,23.18,19.24812,24.53259,0.0,0.0,30.0
28.0,-0.9072,682.6679999999999,9898.8,0.0,23.88489,22.1,7843.0,52939.0,23.424,24.96693,22.692,22.936,35.01771,24.53259,0.0,0.0,730.0
31.0,0.0432,669.5959999999999,9898.8,0.0,23.88108,22.1,5176.0,52947.0,23.18,24.98217,22.692,22.936,19.68627,24.53259,0.0,0.0,29.0
34.0,-0.2592,682.6679999999999,9898.8,0.0,23.86965,22.1,7846.0,52957.0,23.424,24.98598,22.448,22.936,35.89782,24.5364,0.0,0.0,730.0
37.0,-0.4752,669.5959999999999,9966.6,0.0,23.8506,22.1,5275.0,52961.0,23.424,24.98979,22.692,23.18,20.13585,24.52878,0.0,0.0,729.0
40.0,-0.21600000000000003,669.7679999999999,9898.8,0.0,23.83155,22.1,7850.0,52969.0,22.936,25.00122,22.448,23.18,36.67506,24.53259,0.0,0.0,730.0
